ENSG00000237613	FAM138A
ENSG00000238009	RP11-34P13.7
ENSG00000239945	RP11-34P13.8
ENSG00000239906	RP11-34P13.14
ENSG00000241599	RP11-34P13.9
ENSG00000236601	RP4-669L17.2
ENSG00000235146	RP5-857K21.2
ENSG00000229905	RP11-206L10.4
ENSG00000237491	RP11-206L10.9
ENSG00000177757	FAM87B
ENSG00000225880	LINC00115
ENSG00000230368	FAM41C
ENSG00000272438	RP11-54O7.16
ENSG00000230699	RP11-54O7.1
ENSG00000241180	RP11-54O7.2
ENSG00000223764	RP11-54O7.3
ENSG00000272512	RP11-54O7.17
ENSG00000224969	RP11-54O7.11
ENSG00000273443	RP11-54O7.18
ENSG00000223823	RP11-465B22.5
ENSG00000272141	RP11-465B22.8
ENSG00000205231	TTLL10-AS1
ENSG00000260179	RP5-902P8.12
ENSG00000230415	RP5-902P8.10
ENSG00000224870	RP4-758J18.2
ENSG00000272455	RP4-758J18.13
ENSG00000225905	RP4-758J18.7
ENSG00000225285	RP4-758J18.10
ENSG00000215014	AL645728.1
ENSG00000272106	RP11-345P4.9
ENSG00000272004	RP11-345P4.10
ENSG00000231050	RP1-140A9.1
ENSG00000233542	RP11-547D24.1
ENSG00000226969	RP11-547D24.3
ENSG00000271806	RP5-892K4.1
ENSG00000182873	RP11-181G12.2
ENSG00000234396	RP11-181G12.4
ENSG00000224387	RP3-395M20.2
ENSG00000229393	RP3-395M20.3
ENSG00000272449	RP3-395M20.12
ENSG00000228037	RP3-395M20.9
ENSG00000237058	RP13-436F16.1
ENSG00000233234	RP11-740P5.2
ENSG00000231630	RP11-740P5.3
ENSG00000177133	LINC00982
ENSG00000226286	RP1-163G9.2
ENSG00000272235	RP11-22L13.1
ENSG00000272088	RP11-168F9.2
ENSG00000238260	RP11-46F15.2
ENSG00000227589	RP5-1092A11.5
ENSG00000235131	RP5-1092A11.2
ENSG00000272153	RP1-286D6.5
ENSG00000236423	LINC01134
ENSG00000233304	RP13-614K11.1
ENSG00000226374	RP13-614K11.2
ENSG00000235054	RP5-1166F10.1
ENSG00000227169	RP1-37J18.1
ENSG00000232596	RP1-37J18.2
ENSG00000231510	RP11-542C10.1
ENSG00000260972	RP1-58B11.1
ENSG00000236948	RP11-154H17.1
ENSG00000226944	RP1-120G22.11
ENSG00000225077	LINC00337
ENSG00000271746	RP1-202O8.3
ENSG00000231868	RP1-202O8.2
ENSG00000228750	RP11-242F24.1
ENSG00000237436	RP11-312B8.1
ENSG00000237365	RP11-334N17.1
ENSG00000237728	RP3-453P22.2
ENSG00000225126	RP4-549F15.1
ENSG00000270171	RP11-338N10.1
ENSG00000270035	RP11-338N10.2
ENSG00000269978	RP11-338N10.3
ENSG00000236266	RP3-467L1.4
ENSG00000238290	RP11-431K24.1
ENSG00000227634	RP11-431K24.3
ENSG00000233645	RP11-431K24.4
ENSG00000232912	RP5-1115A15.1
ENSG00000228423	RP4-633I8.4
ENSG00000230679	ENO1-AS1
ENSG00000228526	RP3-510D11.1
ENSG00000234546	RP3-510D11.2
ENSG00000235263	RP13-392I16.1
ENSG00000179840	C1orf200
ENSG00000231789	RP11-558F24.4
ENSG00000223989	RP11-84A14.5
ENSG00000271989	RP4-736L20.3
ENSG00000203469	RP5-1113E3.3
ENSG00000272078	RP4-734G22.3
ENSG00000271895	RP4-635E18.8
ENSG00000226849	RP4-635E18.7
ENSG00000230337	RP4-635E18.6
ENSG00000225602	MTOR-AS1
ENSG00000235643	RP1-69M21.2
ENSG00000177553	RP11-56N19.5
ENSG00000229484	RP5-888M10.2
ENSG00000272482	RP11-474O21.5
ENSG00000228338	RP5-845O24.8
ENSG00000233336	RP13-221M14.2
ENSG00000228229	RP11-219C24.10
ENSG00000259961	RP4-597A16.2
ENSG00000237445	CTA-520D8.2
ENSG00000231606	RP11-344F13.1
ENSG00000234593	RP4-704D23.1
ENSG00000204464	C1orf195
ENSG00000233485	RP3-467K16.2
ENSG00000236045	RP3-467K16.7
ENSG00000228140	RP3-467K16.4
ENSG00000272510	RP4-680D5.8
ENSG00000237301	RP4-680D5.2
ENSG00000271742	RP4-680D5.9
ENSG00000237938	RP11-288I21.1
ENSG00000224459	RP11-169K16.4
ENSG00000179743	RP11-169K16.9
ENSG00000233078	RP11-5P18.5
ENSG00000227959	RP11-276H7.2
ENSG00000224621	RP11-276H7.3
ENSG00000234166	ARHGEF19-AS1
ENSG00000226029	RP4-798A10.2
ENSG00000261135	RP4-798A10.7
ENSG00000224174	RP4-798A10.4
ENSG00000233421	U1
ENSG00000271732	RP5-1182A14.5
ENSG00000223643	RP11-108M9.1
ENSG00000228549	U1
ENSG00000238142	RP11-108M9.4
ENSG00000272426	RP11-108M9.6
ENSG00000226526	RP1-37C10.3
ENSG00000204362	RP11-380J14.1
ENSG00000227751	RP1-20B21.4
ENSG00000236648	RP11-473A10.2
ENSG00000261781	RP11-174G17.2
ENSG00000230035	RP11-174G17
ENSG00000225387	RP11-422P22.1
ENSG00000230424	RP1-43E13.2
ENSG00000235185	RP5-1056L3.1
ENSG00000235434	RP11-91K11.2
ENSG00000227066	RP3-340N1.2
ENSG00000225986	UBXN10-AS1
ENSG00000228105	RP3-340N1.6
ENSG00000226664	RP4-745E8.2
ENSG00000236963	LINC01141
ENSG00000226487	RP4-749H3.2
ENSG00000117242	PINK1-AS
ENSG00000233069	RP5-930J4.2
ENSG00000236936	RP3-329E20.2
ENSG00000231105	RP5-1071N3.1
ENSG00000236009	RP11-293F5.1
ENSG00000233431	RP11-63N8.3
ENSG00000228397	RP1-224A6.3
ENSG00000218510	LINC00339
ENSG00000225952	RP11-69E9.1
ENSG00000240553	RP1-184J9.2
ENSG00000261326	RP5-1057J7.6
ENSG00000249087	C1orf213
ENSG00000271420	RP5-1057J7.7
ENSG00000235052	RP1-150O5.3
ENSG00000197880	MDS2
ENSG00000236810	RP5-886K2.3
ENSG00000232557	RP11-4M23.3
ENSG00000225315	RP11-293P20.2
ENSG00000230703	RP11-293P20.4
ENSG00000230023	RP11-10N16.2
ENSG00000232298	RP11-10N16.3
ENSG00000264443	RP4-594I10.3
ENSG00000229162	RP11-84D1.1
ENSG00000261025	RP11-84D1.2
ENSG00000233755	RP4-799D16.1
ENSG00000231953	RP4-706G24.1
ENSG00000272432	RP3-465N24.6
ENSG00000225643	RP11-70P17.1
ENSG00000233478	RP1-187B23.1
ENSG00000228172	RP1-317E23.3
ENSG00000272478	RP1-317E23.7
ENSG00000236528	RP1-125I3.2
ENSG00000225891	RP3-476K8.3
ENSG00000260063	RP5-968P14.2
ENSG00000226698	RP1-50O24.6
ENSG00000224311	RP11-40H20.4
ENSG00000241169	RP4-752I6.1
ENSG00000237429	RP1-159A19.4
ENSG00000233975	RP11-288L9.1
ENSG00000225886	RP11-288L9.4
ENSG00000227050	RP11-460I13.2
ENSG00000270605	RP5-1092A3.4
ENSG00000271398	RP5-1092A3.5
ENSG00000197989	SNHG12
ENSG00000229388	RP11-442N24__B.1
ENSG00000270103	RNU11
ENSG00000233427	RP1-212P9.3
ENSG00000225750	RP11-242O24.3
ENSG00000237934	RP11-467D18.2
ENSG00000230523	RP3-437I16.1
ENSG00000228176	RP4-656G21.1
ENSG00000233399	RP11-111I12.1
ENSG00000233372	RP5-893G23.1
ENSG00000236335	RP4-591L5.1
ENSG00000231949	RP4-591L5.2
ENSG00000186056	MATN1-AS1
ENSG00000229607	RP5-1125N11.1
ENSG00000223382	RP1-65J11.1
ENSG00000235143	RP1-65J11.5
ENSG00000229044	RP11-266K22.2
ENSG00000229167	RP11-73M7.1
ENSG00000235790	RP11-73M7.6
ENSG00000264078	RP11-73M7.9
ENSG00000254545	RP11-84A19.3
ENSG00000203620	RP11-84A19.2
ENSG00000269967	RP11-84A19.4
ENSG00000228634	RP4-534N18.2
ENSG00000203325	RP11-277A4.4
ENSG00000224066	RP4-622L5.7
ENSG00000233775	RP4-811H24.9
ENSG00000224409	RP11-114B7.6
ENSG00000236065	RP1-117O3.2
ENSG00000270115	RP11-415J8.7
ENSG00000225313	RP11-415J8.3
ENSG00000233246	RP11-415J8.5
ENSG00000231163	RP5-1007G16.1
ENSG00000255811	RP1-34M23.5
ENSG00000230163	RP5-997D16.2
ENSG00000227409	ZMYM4-AS1
ENSG00000239636	RP4-728D4.2
ENSG00000232335	RP11-435D7.3
ENSG00000271914	RP4-789D17.5
ENSG00000271554	RP4-665N4.8
ENSG00000234481	RP4-614N24.1
ENSG00000223944	RP5-1180C18.1
ENSG00000233621	LINC01137
ENSG00000233728	RP11-109P14.9
ENSG00000230955	RP11-109P14.10
ENSG00000224592	RP5-884C9.2
ENSG00000237290	RP11-214L19.1
ENSG00000238063	RP11-329N22.1
ENSG00000228436	RP5-864K19.4
ENSG00000226438	RP11-420K8.1
ENSG00000228060	RP11-69E11.8
ENSG00000225903	RP1-144F13.3
ENSG00000261798	RP1-118J21.25
ENSG00000236546	RP1-118J21.5
ENSG00000259943	RP1-39G22.7
ENSG00000238287	RP11-656D10.3
ENSG00000227278	RP11-656D10.5
ENSG00000238186	RP11-656D10.6
ENSG00000237899	RP4-739H11.3
ENSG00000272145	NFYC-AS1
ENSG00000229528	RP5-1066H13.4
ENSG00000235358	RP11-399E6.1
ENSG00000229901	RP11-399E6.4
ENSG00000230881	RP11-486B10.3
ENSG00000234917	RP5-994D16.3
ENSG00000228452	RP5-994D16.9
ENSG00000228192	RP11-342M1.3
ENSG00000227533	SLC2A1-AS1
ENSG00000234694	RP1-92O14.3
ENSG00000229431	RP1-92O14.6
ENSG00000229372	SZT2-AS1
ENSG00000229348	HYI-AS1
ENSG00000236200	KDM4A-AS1
ENSG00000229444	RP11-184I16.4
ENSG00000237950	RP11-7O11.3
ENSG00000230615	RP5-1198O20.4
ENSG00000225721	RP11-269F19.2
ENSG00000226957	RP4-533D7.4
ENSG00000227857	RP4-533D7.5
ENSG00000224863	RP5-1109J22.2
ENSG00000269956	MKNK1-AS1
ENSG00000228237	EFCAB14-AS1
ENSG00000225506	CYP4A22-AS1
ENSG00000224805	LINC00853
ENSG00000226252	RP1-18D14.7
ENSG00000225762	RP11-511I2.2
ENSG00000237424	FOXD2-AS1
ENSG00000227947	RP11-543D5.1
ENSG00000223814	RP11-543D5.2
ENSG00000225028	RP11-330M19.1
ENSG00000226133	RP4-683M8.2
ENSG00000231413	RP11-193P11.3
ENSG00000223720	RP5-1024N4.2
ENSG00000272491	RP5-1024N4.4
ENSG00000229846	RP11-141A19.1
ENSG00000230114	RP11-141A19.2
ENSG00000237337	RP11-567C20.2
ENSG00000233407	RP11-567C20.3
ENSG00000225767	RP5-850O15.3
ENSG00000203356	RP11-296A18.3
ENSG00000236434	RP11-296A18.6
ENSG00000261664	RP11-275F13.1
ENSG00000238140	RP11-253A20.1
ENSG00000227070	RP11-191G24.1
ENSG00000266993	RP4-657D16.3
ENSG00000272175	RP4-657D16.6
ENSG00000223390	RP11-91A18.4
ENSG00000228369	TXNDC12-AS1
ENSG00000272100	RP11-155O18.6
ENSG00000272371	RP11-25O10.2
ENSG00000242391	RP4-631H13.2
ENSG00000232993	RP11-334A14.5
ENSG00000235563	RP11-334A14.8
ENSG00000236723	RP5-1024G6.2
ENSG00000259818	RP5-1024G6.7
ENSG00000226754	RP5-1024G6.5
ENSG00000234578	RP4-784A16.1
ENSG00000228838	RP4-784A16.2
ENSG00000232762	RP4-784A16.4
ENSG00000225675	RP4-784A16.5
ENSG00000226938	RP11-117D22.1
ENSG00000230138	RP11-117D22.2
ENSG00000198711	SSBP3-AS1
ENSG00000225632	RP5-997D24.3
ENSG00000232245	RP4-705F19.1
ENSG00000235741	RP5-866L20.1
ENSG00000237453	RP11-67L3.2
ENSG00000242396	RP11-67L3.5
ENSG00000233203	RP11-67L3.4
ENSG00000233271	RP11-12C17.2
ENSG00000231090	RP11-101C11.1
ENSG00000234810	RP11-466L17.1
ENSG00000230250	RP11-90C4.2
ENSG00000233079	RP11-90C4.3
ENSG00000235612	RP1-158P9.1
ENSG00000260971	RP11-504A18.1
ENSG00000223956	RP4-710M16.2
ENSG00000229913	RP11-378I13.1
ENSG00000236341	RP5-1103B4.3
ENSG00000227935	RP6-102O10.1
ENSG00000226759	DAB1-AS1
ENSG00000235038	RP11-393I23.4
ENSG00000234807	LINC01135
ENSG00000272226	RP11-63G10.3
ENSG00000231740	RP11-63G10.2
ENSG00000232453	RP4-794H19.1
ENSG00000241042	RP11-145M4.1
ENSG00000235215	RP11-145M4.2
ENSG00000237352	RP11-145M4.3
ENSG00000270457	RP11-467C18.1
ENSG00000226883	RP4-782L23.2
ENSG00000238242	RP11-575B7.3
ENSG00000226476	RP11-776H12.1
ENSG00000231252	RP11-436K8.1
ENSG00000237928	RP4-668G5.1
ENSG00000237853	RP5-833A20.1
ENSG00000271200	RP11-430G17.3
ENSG00000235545	RP11-230B22.1
ENSG00000234318	RP4-771M4.3
ENSG00000229537	RP11-5P4.1
ENSG00000227485	RP11-5P4.2
ENSG00000229225	RP11-5P4.3
ENSG00000203605	RP11-335E6.2
ENSG00000224209	LINC00466
ENSG00000228734	RP11-335E6.3
ENSG00000230798	RP4-792G4.2
ENSG00000116652	DLEU2L
ENSG00000223949	RP11-24J23.2
ENSG00000226891	RP11-182I10.3
ENSG00000272506	RP4-535B20.4
ENSG00000229294	RP5-1044H5.1
ENSG00000227466	RP11-397C12.1
ENSG00000248458	AL139147.1
ENSG00000231080	RP11-342H21.2
ENSG00000235200	RP4-763G1.2
ENSG00000232284	GNG12-AS1
ENSG00000233589	RP4-694A7.2
ENSG00000234264	RP4-694A7.4
ENSG00000223883	RP11-424D14.1
ENSG00000235446	RP11-74K19.1
ENSG00000229639	RP3-380B4.1
ENSG00000237919	RP11-181B18.1
ENSG00000228988	RP4-677H15.4
ENSG00000226088	RP11-180O5.2
ENSG00000271992	RP11-42O15.3
ENSG00000229051	RP5-952N6.1
ENSG00000226208	RP11-99H8.1
ENSG00000235782	RP3-333A15.1
ENSG00000235079	ZRANB2-AS1
ENSG00000231985	RP11-82L20.1
ENSG00000225087	RP4-660H19.1
ENSG00000227016	RP11-262K1.1
ENSG00000233973	RP4-598G3.1
ENSG00000223479	RP4-788P17.1
ENSG00000237324	RP11-439H8.4
ENSG00000233894	RP4-650F12.2
