amy	acc	cbg	cbhs	cere	cortex	frcort	hippo	hypoth	nabg	pbg	spinal	subnig
33	92.0	89.0	42.0	206.0	96.0	46.0	74.0	85.0	53.0	56.0	102.0	89.0
72	135.0	64.0	58.0	50.0	98.0	83.0	80.0	135.0	52.0	89.0	30.0	44.0
32	35.0	61.0	101.0	80.0	64.0	94.0	52.0	44.0	168.0	47.0	52.0	76.0
111	41.0	104.0	62.0	161.0	179.0	68.0	72.0	121.0	63.0	86.0	87.0	58.0
60	79.0	44.0	42.0	75.0	65.0	81.0	116.0	114.0	169.0	85.0	56.0	65.0
37	58.0	173.0	67.0	201.0	80.0	165.0	66.0	170.0	129.0	76.0	77.0	36.0
55	67.0	128.0	124.0	180.0	98.0	65.0	105.0	90.0	118.0	101.0	39.0	37.0
56	97.0	158.0	89.0	136.0	66.0	122.0	152.0	162.0	103.0	140.0	35.0	40.0
77	38.0	42.0	99.0	164.0	169.0	122.0	73.0	64.0	84.0	52.0	54.0	53.0
124	126.0	78.0	63.0	59.0	183.0	146.0	47.0	119.0	83.0	57.0	112.0	51.0
51	84.0	99.0	151.0	94.0	195.0	65.0	74.0	86.0	124.0	95.0	115.0	112.0
57	144.0	82.0	118.0	135.0	71.0	60.0	119.0	68.0	135.0	158.0	100.0	42.0
52	50.0	77.0	151.0	176.0	61.0	44.0	73.0	139.0	104.0	142.0	33.0	29.0
60	36.0	64.0	83.0	136.0	175.0	54.0	79.0	57.0	109.0	100.0	39.0	35.0
83	115.0	167.0	150.0	100.0	55.0	92.0	70.0	48.0	89.0	114.0	98.0	98.0
94	55.0	149.0	112.0	184.0	60.0	41.0	44.0	49.0	44.0	48.0	88.0	80.0
57	43.0	73.0	41.0	59.0	105.0	97.0	36.0	42.0	149.0	53.0	42.0	108.0
57	83.0	90.0	41.0	108.0	175.0	68.0	162.0	48.0	55.0	77.0	57.0	73.0
47	95.0	115.0	85.0	65.0	112.0	54.0	114.0	44.0	69.0	73.0	49.0	71.0
45	89.0	62.0	123.0	157.0	134.0	125.0	163.0	79.0	67.0	36.0	70.0	48.0
92	35.0	122.0	80.0	120.0	95.0	119.0	70.0	109.0	95.0	38.0	56.0	99.0
52	42.0	132.0	114.0	51.0	107.0	52.0	90.0	161.0	95.0	42.0	123.0	54.0
78	61.0	175.0	129.0	158.0	110.0	162.0	40.0	123.0	111.0	76.0	83.0	66.0
116	37.0	141.0	102.0	78.0	78.0	129.0	39.0	84.0	90.0	99.0	28.0	89.0
68	63.0	70.0	91.0	84.0	189.0	46.0	58.0	71.0	67.0	63.0	125.0	80.0
101	142.0	92.0	45.0	75.0	62.0	46.0	155.0	138.0	147.0	163.0	125.0	53.0
65	45.0	83.0	62.0	113.0	58.0	87.0	157.0	132.0	162.0	155.0	63.0	32.0
81	107.0	150.0	131.0	51.0	112.0	86.0	92.0	96.0	72.0	163.0	33.0	52.0
97	47.0	157.0	70.0	208.0	78.0	131.0	152.0	155.0	147.0	120.0	96.0	66.0
84	54.0	175.0	141.0	143.0	119.0	171.0	119.0	44.0	45.0	41.0	45.0	64.0
106	40.0	91.0	82.0	86.0	189.0	161.0	127.0	141.0	182.0	95.0	125.0	51.0
39	83.0	59.0	85.0	75.0	88.0	107.0	138.0	102.0	194.0	66.0	84.0	99.0
57	62.0	48.0	69.0	128.0	133.0	101.0	74.0	138.0	91.0	104.0	34.0	32.0
51	109.0	109.0	88.0	53.0	135.0	52.0	56.0	106.0	73.0	52.0	39.0	34.0
57	33.0	44.0	161.0	163.0	64.0	139.0	71.0	151.0	167.0	48.0	48.0	102.0
30	97.0	70.0	96.0	73.0	109.0	67.0	40.0	168.0	63.0	107.0	110.0	44.0
120	67.0	164.0	117.0	114.0	70.0	83.0	164.0	88.0	130.0	36.0	47.0	36.0
56	76.0	189.0	54.0	67.0	182.0	123.0	38.0	100.0	78.0	132.0	109.0	37.0
31	105.0	54.0	52.0	131.0	142.0	61.0	148.0	78.0	52.0	60.0	33.0	80.0
35	69.0	40.0	140.0	160.0	90.0	105.0	93.0	74.0	65.0	81.0	95.0	73.0
122	129.0	70.0	94.0	144.0	97.0	51.0	51.0	165.0	144.0	166.0	110.0	93.0
39	112.0	98.0	85.0	70.0	131.0	143.0	164.0	124.0	59.0	46.0	98.0	47.0
30	53.0	180.0	138.0	184.0	148.0	91.0	46.0	48.0	132.0	100.0	52.0	45.0
33	50.0	104.0	68.0	153.0	64.0	35.0	93.0	42.0	129.0	147.0	80.0	47.0
101	38.0	88.0	101.0	113.0	68.0	110.0	86.0	113.0	43.0	76.0	75.0	97.0
